index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0.1625535657608831,0.9894629688360416,3,3099,2655,True
1,0.1682978100051273,0.9893328113185844,8,3375,3265,True
2,0.1717926829268296,0.9891413194846116,7,3739,3087,True
3,0.1759113015454482,0.9884807042835256,13,3751,4784,True
4,0.1783716338289513,0.9884101521142368,360,2142,4562,True
5,0.1786588376994885,0.988147430023519,749,2068,4793,True
6,0.1842662784735959,0.988131906716682,704,3426,4544,True
7,0.1919849396434766,0.98188161128005,45,1255,4600,True
8,0.1922316427926187,0.9799199876237632,1492,4858,1131,True
9,0.3986102281142927,0.8560481092110273,204,3892,54,False
10,0.5293623228338676,0.776955848873676,1298,2869,54,False
11,0.5653904493924818,0.7265863631128776,4478,3772,54,False
12,0.6844302132624407,0.6505909610499756,166,159,11,False
13,0.6954522923828086,0.5803642190671465,793,636,16,False
14,0.7140941952405365,0.5797746112091358,409,245,5,False
15,0.7467093446035543,0.5187299027544505,1035,276,5,False
16,0.7561751225673988,0.4575053372088774,4540,462,10,False
17,0.759017354102377,0.4450557295290999,1278,207,19,False
18,0.7695486120557259,0.4286405512331228,4958,354,17,False
19,0.773101428025005,0.4252064645769646,3900,332,11,False
